,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,Pipeline Signal ID,Source,Detection,Period (days),Duration (hours),Depth (mmag),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Stellar Radius (R_Sun),Stellar Mass (M_Sun)
0,5,5,5,5,5,5,5,87.6,211.2,116.12,0,1,3,KP,True,12.4069,1,spoc-s01-s69-b0A-KP,SPOC,1.43036994965074,1.61659940399439,20.784,18960.7122943629,13.1874503075824,1281.2408253875,1525.90480889146,151.72173,375.31,5600.0,4.48851,0.890774011611938,1.05
1,5,5,5,5,5,5,5,137.4,179.0,317.0,1,2,1,KP,True,9.7109,1,qlp-s68-ffi,SPOC,4.4119378,3.65,16.477767,15062.0,15.4706,653.252,1408.0,1112.0,175.631,6280.0,4.32092,1.21,1.28
2,5,5,5,5,5,5,5,47.7,136.4,116.75,0,0,7,KP,True,11.5232,1,sector-01-spoc-alerts,SPOC,3.547854,3.494333,11.377523,10424.3718,14.581841,1212.004376,1504.858953,59.5,411.211,6351.0,4.22896,1.4,1.27
3,5,5,5,5,5,5,5,52.4,122.6,121.75,1,0,3,KP,True,9.8638,1,spoc-s01-s36-b0A-CPKP,SPOC,4.0872956,5.5861130474761,3.885379,3572.17124985973,13.6237731764604,2242.36054008399,1755.07673832663,48.678577,316.678,6036.0,3.93359,2.21866989135742,1.16
4,5,5,5,5,5,5,5,187.2,431.1,122.95,1,3,2,KP,True,9.4995,1,spoc-s01-s36-b0A-CPKP,UNKNOWN,2.18466694872065,2.86528001574358,12.786825,11708.0228548887,13.702852670325,1362.1381428406,1549.44098010565,349.33414,137.544,5630.0,4.37759,1.23824000358582,1.03
5,5,5,5,5,5,5,5,88.4,107.0,317.0,1,0,3,KP,True,10.3157,1,qlp-s69-ffi,SPOC,2.8493825,3.567,8.774451,8049.0,16.3869,2005.83,1864.0,425.0,364.411,6900.0,4.438,1.77,1.44
6,5,5,5,5,5,5,5,180.3,267.9,317.0,0,1,3,KP,True,9.6433,1,qlp-s68-ffi,SPOC,3.9502008,4.444,15.213018,13914.0,20.5357,1009.38,1570.0,205.0,211.211,6153.0,4.18077,1.71,1.14
7,5,5,5,5,5,5,5,39.1,115.6,99.64,0,0,4,KP,True,13.163,1,spoc,SPOC,3.0440540665342,2.59845748018295,24.414911,22236.0165376302,12.1086799407213,315.987132647374,1075.31845422327,34.314007,421.855,5523.0,4.52192,0.809867978096008,0.95
8,5,5,5,5,5,5,5,32.5,84.5,98.43,0,0,5,KP,True,13.2366,1,spoc-s01-s69-b0A-KP,SPOC,2.76676000983202,2.68721776988127,16.351489,14947.4387827137,12.2867388747802,505.884007476425,1209.57412285071,41.24269,513.011,5346.0,4.48823,0.98486602306366,0.93
9,5,5,5,5,5,5,5,66.2,71.2,317.0,0,0,1,KP,True,11.6714,1,spoc-s01-s69-b0A-KP,SPOC,3.17435042404771,2.75108595936913,16.913636,15457.3247576234,14.9172255754043,718.909699389919,1320.65182343208,99.91275,342.14,5943.0,4.42524,1.1570600271225,1.03
