,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
0,231663901,101.01,,5,5,5,5,5,5,5,87.6,211.2,116.12,0,1,3,KP,True,12.4069,0.006,,1,spoc-s01-s69-b0A-KP,SPOC,21:14:56.88,-55:52:18.71,12.641,0.044,-16.011,0.041,2458326.009117,0.00013154597,1.43036994965074,7.7233494e-07,1.61659940399439,0.019208942,20.784,0.200653,18960.7122943629,184.79134,13.1874503075824,0.6576402,1281.2408253875,1525.90480889146,151.72173,375.31,4.411,5600.0,,4.48851,,0.890774011611938,0.0438467,,,1.05,0.129454,"1,27,67",2018-09-05,2024-09-06,2024-09-06 00:00:00,WASP-46 b
1,149603524,102.01,,5,5,5,5,5,5,5,137.4,179.0,317.0,1,2,1,KP,True,9.7109,0.006,,1,qlp-s68-ffi,SPOC,05:48:33.56,-63:59:17.98,-15.641,0.037,26.046,0.037,2460187.916571,0.0001263,4.4119378,8e-07,3.65,0.011,16.477767,0.075115,15062.0,69.1814,15.4706,0.691963,653.252,1408.0,1112.0,175.631,0.588,6280.0,,4.32092,,1.21,0.05,0.24,0.05,1.28,0.190812,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,64,65,68",2019-05-07,2023-11-16,2023-12-08 12:13:22,WASP 62 b
2,336732616,103.01,,5,5,5,5,5,5,5,47.7,136.4,116.75,0,0,7,KP,True,11.5232,0.008,,1,sector-01-spoc-alerts,SPOC,20:49:49.8,-24:25:43.3,10.426,0.07,15.62,0.051,2458327.25256,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,0.196435,1212.004376,1504.858953,59.5,411.211,7.752,6351.0,,4.22896,,1.4,,,,1.27,0.196969,1,2018-09-05,2024-09-06,2024-09-07 00:00:00,HATS-3 b
3,231670397,104.01,,5,5,5,5,5,5,5,52.4,122.6,121.75,1,0,3,KP,True,9.8638,0.006,,1,spoc-s01-s36-b0A-CPKP,SPOC,21:19:47.93,-58:08:56.16,10.552,0.045,-10.658,0.043,2460150.608677,0.0006817,4.0872956,2.3e-06,5.5861130474761,0.050875474,3.885379,0.03875,3572.17124985973,35.689426,13.6237731764604,0.65182334,2242.36054008399,1755.07673832663,48.678577,316.678,2.9655,6036.0,,3.93359,,2.21866989135742,0.102573,,,1.16,0.166129,"1,27,67",2018-09-05,2023-10-16,2023-10-16 00:00:00,WASP-73 b
4,144065872,105.01,,5,5,5,5,5,5,5,187.2,431.1,122.95,1,3,2,KP,True,9.4995,0.006,,1,spoc-s01-s36-b0A-CPKP,UNKNOWN,22:29:49.88,-48:00:11.16,91.976,0.052,-6.861,0.069,2459084.58501,0.00011,2.18466694872065,4.851188e-07,2.86528001574358,0.009074817,12.786825,0.037924,11708.0228548887,34.928566,13.702852670325,0.66197515,1362.1381428406,1549.44098010565,349.33414,137.544,0.7905,5630.0,,4.37759,,1.23824000358582,0.0596985,,,1.03,0.127209,"1,28",2018-09-05,2021-12-08,2022-12-14 12:09:24,WASP-95; epoch kept from qlp-s28-tois
5,38846515,106.01,,5,5,5,5,5,5,5,88.4,107.0,317.0,1,0,3,KP,True,10.3157,0.006,,1,qlp-s69-ffi,SPOC,04:35:50.36,-64:01:37.34,10.845,0.035,-0.499,0.052,2460201.638583,0.000127,2.8493825,3e-07,3.567,0.053,8.774451,0.027169,8049.0,25.0232,16.3869,0.734704,2005.83,1864.0,425.0,364.411,2.729,6900.0,,4.438,,1.77,0.08,,,1.44,0.243534,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68,69",2019-05-07,2023-11-16,2023-12-08 12:13:22,WASP-100 b
6,92352620,107.01,,5,5,5,5,5,5,5,180.3,267.9,317.0,0,1,3,KP,True,9.6433,0.006,,1,qlp-s68-ffi,SPOC,20:55:07.98,-34:08:08.7,26.376,0.078,-44.947,0.059,2460176.993334,0.0004485,3.9502008,2.6e-06,4.444,0.046,15.213018,0.104225,13914.0,95.9899,20.5357,0.899664,1009.38,1570.0,205.0,211.211,2.4835,6153.0,,4.18077,,1.71,0.07,0.22,0.1,1.14,0.150731,"1,27,68",2018-09-05,2023-11-15,2023-12-08 12:13:22,WASP-94 A b
7,289793076,108.01,,5,5,5,5,5,5,5,39.1,115.6,99.64,0,0,4,KP,True,13.163,0.01,,1,spoc,SPOC,21:07:50.76,-26:05:48.19,3.479,0.063,-10.313,0.038,2458328.08383,0.0004391314,3.0440540665342,4.25771e-06,2.59845748018295,0.061165422,24.414911,0.532696,22236.0165376302,490.51093,12.1086799407213,0.2679916,315.987132647374,1075.31845422327,34.314007,421.855,8.339,5523.0,,4.52192,,0.809867978096008,,,,0.95,,"1,28",2018-09-05,2021-10-20,2022-12-14 12:09:24,HATS-13 b
8,29344935,109.01,,5,5,5,5,5,5,5,32.5,84.5,98.43,0,0,5,KP,True,13.2366,0.007,,1,spoc-s01-s69-b0A-KP,SPOC,20:52:51.71,-25:41:14.55,1.053,0.052,-9.881,0.029,2458326.127479,0.00047817343,2.76676000983202,2.5341785e-06,2.68721776988127,0.07263539,16.351489,0.315828,14947.4387827137,290.84625,12.2867388747802,0.30639383,505.884007476425,1209.57412285071,41.24269,513.011,9.1275,5346.0,,4.48823,,0.98486602306366,,,,0.93,,"1,28,68",2018-09-05,2024-09-09,2024-09-09 00:00:00,HATS-14 b
9,281459670,110.01,,5,5,5,5,5,5,5,66.2,71.2,317.0,0,0,1,KP,True,11.6714,0.006,,1,spoc-s01-s69-b0A-KP,SPOC,00:22:28.45,-59:56:33.32,-22.309,0.036,-4.893,0.034,2458328.039934,0.0002273546,3.17435042404771,1.739457e-06,2.75108595936913,0.03093153,16.913636,0.168357,15457.3247576234,155.05025,14.9172255754043,0.82839006,718.909699389919,1320.65182343208,99.91275,342.14,2.912,5943.0,,4.42524,,1.1570600271225,0.0633669,-0.1,0.1,1.03,0.12909,"1,2,28,29,68",2018-11-14,2024-09-09,2024-09-09 00:00:00,HATS-30 b
